General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
আম্মুর,Mom's,বিশেষ্য,বিশেষ্য,বিশেষ্য,আম্মার,আম্মার,আম্মুর,আম্মার,আম্মুর
আয়,income,বিশেষ্য,বিশেষ্য,বিশেষ্য,টাহা,আয়,আয়,আয়,কামাই
আর,And,অব্যয়,অব্যয়,অব্যয়,আর ,আর,আর,আর,আর 
আরও,More,সর্বনাম,অব্যয়,অব্যয়,আরো,ইগুয়ে,আরোও,আরও,আরও
আরামপ্রিয়,comfortable,বিশেষণ,বিশেষণ,বিশেষণ,আরাম পিরিয়ো,আরামপ্রিয়,আরামফ্রিয়,আরামপ্রিয়,আরামখোজইন্না
আরামে,in comfort,অব্যয়,বিশেষ্য,বিশেষ্য,আরামে,আরামে,আরাম,আরামে,আরামে
আরেক,another,সর্বনাম,সর্বনাম,সর্বনাম,আর,আরোখ,আরেক,আরেক,আরেক
আরেকজন,another one,সর্বনাম,সর্বনাম,সর্বনাম,আরেকজন,আরেগু,আরেকজন,আরেকজন,আরেকজন
আরেকটা,another one,সর্বনাম,সর্বনাম,সর্বনাম,আর এউক্কা,আরোখটা,আরেক্কান,আরেকটা,আরোগ্গা
আরেকটু,a little more,সর্বনাম,সর্বনাম,সর্বনাম,আরেকটু,থুরা,আরেক্কানা,আরেকটু,আরেক্কানা
আরো,more,অব্যয়,অব্যয়,অব্যয়,আরো,আরো,আরো,আরো,আরো
আর্থিক,financial,বিশেষণ,বিশেষণ,বিশেষণ,টাহাকড়ির জোর  ,টেকার,টেহার দিক,টাহার ,আর্থিক
আলাদা,different,বিশেষণ,বিশেষণ,বিশেষণ,ভিন্ন,আলেদা,আলাদা,আলদা,আলাদা
আলো,the light,সর্বনাম,বিশেষ্য,বিশেষ্য,আলো,ফর্সা,আলো,আলো,আলো
আলোচনা,discussion,বিশেষ্য,বিশেষ্য,বিশেষ্য,আলোচনা,আলোচনা,আলোচনা,আলোচনা,আলোচনা
আলোচনায়,in discussion,অব্যয়,বিশেষ্য,বিশেষ্য,আলোচনায়  ,আলোচনায়,আলোচনায়,আলোচনা,আলোচনায়
আলোতে,in the light,অব্যয়,বিশেষ্য,বিশেষ্য,আলোত  ,পরে,আলোতে,আলোতে ,আলোতে
আল্লাহ,Allah,বিশেষ্য,বিশেষ্য,বিশেষ্য,আল্লাহ,আল্লাহ,আল্লা,আল্লাহ,আল্লাহ
আল্লাহর,God's,বিশেষ্য,বিশেষ্য,বিশেষ্য,আল্লাহর,আল্লার,আল্লার,আল্লাহর,আল্লার
আল্লেহ,Allah,বিশেষ্য,বিশেষ্য,বিশেষ্য,আল্লেহ,আল্লেহ,আল্লেহ,আল্লেহ,আল্লেহ
আশঙ্কার,of fear,অব্যয়,বিশেষ্য,বিশেষ্য,টেনশনের  ,ডর, ভয়,আশঙ্কার,আশঙ্কার
আশা,hope,বিশেষ্য,বিশেষ্য,বিশেষ্য,আশা,আশা,আশা,আশা,আশা
আশেপাশে,around,অব্যয়,অব্যয়,অব্যয়,আশেপাশে,আশেপাশে,আশেফাশে,আশেফাশে,আশেহাশে
আশ্রয়,refuge,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠাঁই  ,থাংগি, ঠাঁই,ঠাই,আশ্রয়
আশ্রয়কেন্দ্র,shelter,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠাঁইর জায়গা  ,আশ্রয়কেন্দ্র,আশ্রয়ের জায়গা,আশ্রয়ের জায়গা,আশ্রয়কেন্দ্র
আশ্রয়ে,in shelter,অব্যয়,বিশেষ্য,বিশেষ্য,ঠাঁই লইয়া ,আশ্রয়ে,আশ্রয়ত,থাকার ,আশ্রয়ে
আসক্ত,addict,বিশেষ্য,বিশেষণ,বিশেষণ,আসক্ত,নেশাকুর,আসক্ত,আসক্ত,আসক্ত
আসক্ত ছিল,was addicted,ক্রিয়া,ক্রিয়া,ক্রিয়া,আল্লেহ,আসক্ত আছিল,আসক্ত আছিল,আসক্ত আছিল ,আসক্ত ছিল
আসছিল,was coming,ক্রিয়া,ক্রিয়া,ক্রিয়া,আসতেছিল  ,আইছিলা,আইছিলো,আইসিলো,আইসিলো 
আসছে,is coming,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইছে,আইতেছে,গেইয়্যুয়,আইসে,আইছে
আসতে,to come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইতে,আইতে,আইত,আইতে,আইতাম
আসন,the seat,সর্বনাম,বিশেষ্য,বিশেষ্য,আসন  ,আসন,আসন,আসন,আসন
আসবাবসহ,with furniture,অব্যয়,বিশেষ্য,বিশেষ্য,আসবাবসহ  ,ঘরর জিনিস,আসবাবসহ,জিনিস পত্র ,আসবাবসহ
আসবে,will come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইবে,আইবা,আইবো,আইব,আইবো
আসবেই,will come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইবেই,আইবউ,আইবু,আইবই,আইব
আসবেন,will come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইবেন,আইন,আইবান,আইবেন,আইবেন
আসবো,I will come,সর্বনাম,ক্রিয়া,ক্রিয়া,আমু,আইতাম,আইসসুম,আইবাম,আইতান
আসল,original,বিশেষণ,ক্রিয়া,ক্রিয়া,আসল,আসল,আসল,আসল,আসল
আসলাম,I came,সর্বনাম,ক্রিয়া,ক্রিয়া,আইলাম,আইলাম,আইসসে,আইলাম,আইলাম
আসলে,actually,বিশেষণ,ক্রিয়া,ক্রিয়া,আইলে,আইলে,আইলে,আসলে,আইলে
আসলেই,indeed,বিশেষণ,ক্রিয়া,ক্রিয়া,আসলেই,হাছাউ,আসলেই,সত্যিই,আসলেই
আসলো,came,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইছে,আইচ্চে,গেয়্যুই,আইলো,আইছে
আসা,to come,বিশেষ্য,ক্রিয়া,ক্রিয়া,আঔআ,আওয়া ,আইস্যেদে,আসা,আইয়োন
আসার,to come,বিশেষ্য,ক্রিয়া,ক্রিয়া,আওয়ার,আওয়ার,আইবর,আওনের,আইবার
আসি,come on,ক্রিয়া,ক্রিয়া,ক্রিয়া,আহি,আই,আই,আই,আই
আসিনি,did not come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আইনাই,আইছিনা,যাইনো,আইনাই,আইনো
আসুন,come on,ক্রিয়া,ক্রিয়া,ক্রিয়া,আয়েন,থাকোউকা,আইয়ো,আহেন,আইয়েন
আসে,comes,ক্রিয়া,ক্রিয়া,ক্রিয়া,আহে,আইছে,আইস্যে,আইয়ো,আইছে
আসেন,Come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আয়,আইন,আইয়ে,আসেন,আনে
আসেননি,did not come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আসে নাই  ,আইছইন না,ন আইয়্যি,আয়েনাই ,আইয়ে নো
আসেনি,didn't come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আয়নাই,আইছেনা,আইন্নফারের,আয়নাই,আইয়ে ন
আসো,Come,ক্রিয়া,ক্রিয়া,ক্রিয়া,আহো,আও,আয়্যু,আহো,আসো
আহত,Injured,বিশেষণ,বিশেষণ,বিশেষণ,আহত,আহত,হাদের,আহত,আহত
আয়,income,বিশেষ্য,বিশেষ্য,বিশেষ্য,ইনকাম ,রুজি,ইনকাম,কামায় ,কামাই
