Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
তুমিতাইন কিতা বিয়াত রাজি নি?,তুউই কি বিয়াত রাজি,কিন্তু এইডা কোনদিনও সম্ভব না,কিন্তু ইয়ান হনোদিনো সম্বব ন,তুমি কি বিয়াতে রাজি?
আমি রাজি নায়,আই রাজি নো,তুমি কি বিয়াতে রাজি ?,তুঁই বিয়াত রাযি নে ?,মুই রাজি না
পাখি ওগু দেখতে সুন্দর,পাখিটা দেইকতো সুন্দর,আমি রাজি না,আঁই রাযি ন,পক্ষিডা দ্যাখতে সুন্দর
লাল রঙ ওর শাড়িত তোমারে বালা মানাইবো,লাল রঙ্গের শাড়িত তোয়ারে ভালা মানাইবো,পাখিডা দেখতে সুন্দর,ফাকিউয়া দেকতে সুন্দর,লাল রঙের শারিতে তোমারে ভালো মানাইবে
নীল রঙ আমার খুব বালা লাগে,নীল রং আর অনেক হছন্দ,লাল রঙের শাড়িতে তোমরে ভালা মানাইব,লাল রংর শাড়িত তোঁয়ারে বালো মানাবোব,নীল রঙ মোর ম্যালা পিরিয়ো
আমি তোমারে বালা ফাই না,আই তোয়ারে ভালোবাসি না,নীল রঙ আমার মেলা পসন্দ,নীল রং আঁর বউত পচন্দ,মুই তোমারে ভালোবাসি না
কিতার লাগি আমারে বালা ফাও না?,কিল্লাই আরে ভালোবাসো না,আমি তোমায় ভালবাসি না,আঁই তোয়াঁরে বালো ন বাসি,কির লইজ্ঞা ভালোবাসনা মোরে?
আমার মাঝে বেজাল আছে,আর মইধ্যে সমস্যা আছে,কেন ভালোবাস না আমায় ?,আঁরে বাল না বাসো কিল্লাই ?,মোর মইধ্যে সমেস্যা আছে
আমার মাথা গরম ওই থাকে,আর মাতা গরম থায়,আমার মধ্যে সমস্যা আসে,আঁর মইদ্দে সমস্যা আচে,মোর মাতা গরম থাহে
আমি বদ মেজাজ ওর মানুষ,আই বদমেজাজি মানষ,আমার মাথা গরম থাহে,আঁর মাতা গরম তাকে,মুই বদমেজাজি মানু
বেশি মাত আমার বালা লাগে না,বেশি কতা আর হছন্দ নো,আমি বদমেজাজি বেডা,আঁই টেরা মানুষ,বেশী কতা মোর পছন্দ না
তুমিতাইন একটা গাধা মানুষ,তুউই একজন বেকুব মানুষ,বেশী কথা আমার পসন্দ না,বেশি হতা আত্তন পচন্দ নয়,তুমি গোঙ্গা এউক্কা মানু
